,Ticker,Attribute,Recent
159,AFL,Price/Book (mrq),1.12
160,AFL,Enterprise Value/Revenue 3,1.76
161,AFL,Enterprise Value/EBITDA 7,
162,AIG,Market Cap (intraday) 5,48.07B
163,AIG,Enterprise Value 3,77.40B
164,AIG,Trailing P/E,9.09
165,AIG,Forward P/E 1,10.88
166,AIG,PEG Ratio (5 yr expected) 1,
167,AIG,Price/Sales (ttm),1.06
168,AIG,Price/Book (mrq),0.75
169,AIG,Enterprise Value/Revenue 3,1.62
170,AIG,Enterprise Value/EBITDA 7,
171,AIZ,Market Cap (intraday) 5,9.23B
172,AIZ,Enterprise Value 3,9.40B
173,AIZ,Trailing P/E,18.68
174,AIZ,Forward P/E 1,12.92
175,AIZ,PEG Ratio (5 yr expected) 1,
176,AIZ,Price/Sales (ttm),0.94
177,AIZ,Price/Book (mrq),1.61
178,AIZ,Enterprise Value/Revenue 3,0.89
179,AIZ,Enterprise Value/EBITDA 7,
180,AJG,Market Cap (intraday) 5,34.50B
181,AJG,Enterprise Value 3,37.55B
182,AJG,Trailing P/E,36.18
183,AJG,Forward P/E 1,29.41
184,AJG,PEG Ratio (5 yr expected) 1,
185,AJG,Price/Sales (ttm),4.26
186,AJG,Price/Book (mrq),4.10
187,AJG,Enterprise Value/Revenue 3,4.73
188,AJG,Enterprise Value/EBITDA 7,21.32
189,AKAM,Market Cap (intraday) 5,18.19B
190,AKAM,Enterprise Value 3,19.12B
191,AKAM,Trailing P/E,30.75
192,AKAM,Forward P/E 1,18.87
193,AKAM,PEG Ratio (5 yr expected) 1,1.58
194,AKAM,Price/Sales (ttm),5.46
195,AKAM,Price/Book (mrq),3.97
196,AKAM,Enterprise Value/Revenue 3,5.62
197,AKAM,Enterprise Value/EBITDA 7,14.89
198,ALB,Market Cap (intraday) 5,31.22B
199,ALB,Enterprise Value 3,32.64B
200,ALB,Trailing P/E,141.19
201,ALB,Forward P/E 1,47.85
202,ALB,PEG Ratio (5 yr expected) 1,2.24
203,ALB,Price/Sales (ttm),9.18
204,ALB,Price/Book (mrq),5.48
205,ALB,Enterprise Value/Revenue 3,9.85
206,ALB,Enterprise Value/EBITDA 7,63.63
207,ALGN,Market Cap (intraday) 5,51.83B
208,ALGN,Enterprise Value 3,50.69B
209,ALGN,Trailing P/E,71.06
210,ALGN,Forward P/E 1,50.25
211,ALGN,PEG Ratio (5 yr expected) 1,3.78
212,ALGN,Price/Sales (ttm),13.94
213,ALGN,Price/Book (mrq),14.74
214,ALGN,Enterprise Value/Revenue 3,13.49
215,ALGN,Enterprise Value/EBITDA 7,47.25
216,ALK,Market Cap (intraday) 5,6.20B
217,ALK,Enterprise Value 3,7.12B
218,ALK,Trailing P/E,1.24k
219,ALK,Forward P/E 1,9.95
220,ALK,PEG Ratio (5 yr expected) 1,
221,ALK,Price/Sales (ttm),1.22
222,ALK,Price/Book (mrq),1.75
223,ALK,Enterprise Value/Revenue 3,1.40
224,ALK,Enterprise Value/EBITDA 7,15.02
225,ALL,Market Cap (intraday) 5,33.00B
226,ALL,Enterprise Value 3,42.26B
227,ALL,Trailing P/E,5.55
228,ALL,Forward P/E 1,8.66
229,ALL,PEG Ratio (5 yr expected) 1,2.06
230,ALL,Price/Sales (ttm),0.68
231,ALL,Price/Book (mrq),1.33
232,ALL,Enterprise Value/Revenue 3,0.82
233,ALL,Enterprise Value/EBITDA 7,
234,ALLE,Market Cap (intraday) 5,11.84B
235,ALLE,Enterprise Value 3,12.77B
236,ALLE,Trailing P/E,25.94
237,ALLE,Forward P/E 1,22.94
238,ALLE,PEG Ratio (5 yr expected) 1,2.71
239,ALLE,Price/Sales (ttm),4.17
240,ALLE,Price/Book (mrq),13.70
241,ALLE,Enterprise Value/Revenue 3,4.43
242,ALLE,Enterprise Value/EBITDA 7,20.04
243,AMAT,Market Cap (intraday) 5,134.46B
244,AMAT,Enterprise Value 3,134.46B
245,AMAT,Trailing P/E,23.27
246,AMAT,Forward P/E 1,18.21
247,AMAT,PEG Ratio (5 yr expected) 1,2.10
248,AMAT,Price/Sales (ttm),5.93
249,AMAT,Price/Book (mrq),10.98
250,AMAT,Enterprise Value/Revenue 3,5.83
251,AMAT,Enterprise Value/EBITDA 7,18.17
252,AMCR,Market Cap (intraday) 5,18.05B
253,AMCR,Enterprise Value 3,24.46B
254,AMCR,Trailing P/E,19.39
255,AMCR,Forward P/E 1,14.77
256,AMCR,PEG Ratio (5 yr expected) 1,
257,AMCR,Price/Sales (ttm),1.38
258,AMCR,Price/Book (mrq),3.88
259,AMCR,Enterprise Value/Revenue 3,1.85
260,AMCR,Enterprise Value/EBITDA 7,12.38
261,AMD,Market Cap (intraday) 5,181.04B
262,AMD,Enterprise Value 3,178.02B
263,AMD,Trailing P/E,46.13
264,AMD,Forward P/E 1,45.66
265,AMD,PEG Ratio (5 yr expected) 1,1.32
266,AMD,Price/Sales (ttm),12.36
267,AMD,Price/Book (mrq),25.37
268,AMD,Enterprise Value/Revenue 3,11.99
269,AMD,Enterprise Value/EBITDA 7,51.20
270,AME,Market Cap (intraday) 5,33.10B
271,AME,Enterprise Value 3,35.58B
272,AME,Trailing P/E,35.87
273,AME,Forward P/E 1,28.74
274,AME,PEG Ratio (5 yr expected) 1,2.11
275,AME,Price/Sales (ttm),6.35
276,AME,Price/Book (mrq),5.05
277,AME,Enterprise Value/Revenue 3,6.79
278,AME,Enterprise Value/EBITDA 7,23.42
279,AMGN,Market Cap (intraday) 5,115.20B
280,AMGN,Enterprise Value 3,139.86B
281,AMGN,Trailing P/E,21.09
282,AMGN,Forward P/E 1,11.36
283,AMGN,PEG Ratio (5 yr expected) 1,1.54
284,AMGN,Price/Sales (ttm),4.59
285,AMGN,Price/Book (mrq),14.02
286,AMGN,Enterprise Value/Revenue 3,5.43
287,AMGN,Enterprise Value/EBITDA 7,12.66
288,AMP,Market Cap (intraday) 5,34.01B
289,AMP,Enterprise Value 3,31.40B
290,AMP,Trailing P/E,16.43
291,AMP,Forward P/E 1,12.47
292,AMP,PEG Ratio (5 yr expected) 1,0.94
293,AMP,Price/Sales (ttm),2.85
294,AMP,Price/Book (mrq),5.96
295,AMP,Enterprise Value/Revenue 3,2.43
296,AMP,Enterprise Value/EBITDA 7,
297,AMT,Market Cap (intraday) 5,120.90B
298,AMT,Enterprise Value 3,159.77B
299,AMT,Trailing P/E,48.27
300,AMT,Forward P/E 1,46.30
301,AMT,PEG Ratio (5 yr expected) 1,2.55
302,AMT,Price/Sales (ttm),13.24
303,AMT,Price/Book (mrq),22.34
304,AMT,Enterprise Value/Revenue 3,17.68
305,AMT,Enterprise Value/EBITDA 7,27.87
306,AMZN,Market Cap (intraday) 5,1.82T
307,AMZN,Enterprise Value 3,1.85T
308,AMZN,Trailing P/E,70.03
309,AMZN,Forward P/E 1,55.87
310,AMZN,PEG Ratio (5 yr expected) 1,2.13
311,AMZN,Price/Sales (ttm),4.02
312,AMZN,Price/Book (mrq),15.06
313,AMZN,Enterprise Value/Revenue 3,4.04
314,AMZN,Enterprise Value/EBITDA 7,28.54
315,ANET,Market Cap (intraday) 5,38.87B
316,ANET,Enterprise Value 3,35.55B
317,ANET,Trailing P/E,51.37
318,ANET,Forward P/E 1,36.36
319,ANET,PEG Ratio (5 yr expected) 1,1.82
320,ANET,Price/Sales (ttm),14.54
321,ANET,Price/Book (mrq),10.06
322,ANET,Enterprise Value/Revenue 3,12.82
323,ANET,Enterprise Value/EBITDA 7,37.69
324,ANSS,Market Cap (intraday) 5,34.03B
325,ANSS,Enterprise Value 3,33.81B
326,ANSS,Trailing P/E,73.18
327,ANSS,Forward P/E 1,48.54
328,ANSS,PEG Ratio (5 yr expected) 1,4.13
329,ANSS,Price/Sales (ttm),18.30
330,ANSS,Price/Book (mrq),7.84
331,ANSS,Enterprise Value/Revenue 3,18.03
332,ANSS,Enterprise Value/EBITDA 7,50.10
333,ANTM,Market Cap (intraday) 5,102.83B
334,ANTM,Enterprise Value 3,120.12B
335,ANTM,Trailing P/E,18.98
336,ANTM,Forward P/E 1,14.79
337,ANTM,PEG Ratio (5 yr expected) 1,1.29
338,ANTM,Price/Sales (ttm),0.80
339,ANTM,Price/Book (mrq),2.88
340,ANTM,Enterprise Value/Revenue 3,0.90
341,ANTM,Enterprise Value/EBITDA 7,
342,AON,Market Cap (intraday) 5,65.82B
343,AON,Enterprise Value 3,74.38B
344,AON,Trailing P/E,74.87
345,AON,Forward P/E 1,23.20
346,AON,PEG Ratio (5 yr expected) 1,2.02
347,AON,Price/Sales (ttm),5.65
348,AON,Price/Book (mrq),29.80
349,AON,Enterprise Value/Revenue 3,6.16
350,AON,Enterprise Value/EBITDA 7,34.23
351,AOS,Market Cap (intraday) 5,13.11B
352,AOS,Enterprise Value 3,12.57B
353,AOS,Trailing P/E,28.51
354,AOS,Forward P/E 1,24.04
355,AOS,PEG Ratio (5 yr expected) 1,2.40
356,AOS,Price/Sales (ttm),3.95
357,AOS,Price/Book (mrq),6.91
358,AOS,Enterprise Value/Revenue 3,3.72
359,AOS,Enterprise Value/EBITDA 7,18.56
360,APA,Market Cap (intraday) 5,10.39B
361,APA,Enterprise Value 3,17.51B
362,APA,Trailing P/E,18.34
363,APA,Forward P/E 1,4.96
364,APA,PEG Ratio (5 yr expected) 1,
365,APA,Price/Sales (ttm),1.57
366,APA,Price/Book (mrq),
367,APA,Enterprise Value/Revenue 3,2.54
368,APA,Enterprise Value/EBITDA 7,5.56
369,APD,Market Cap (intraday) 5,65.96B
370,APD,Enterprise Value 3,68.38B
371,APD,Trailing P/E,32.66
372,APD,Forward P/E 1,28.90
373,APD,PEG Ratio (5 yr expected) 1,1.54
374,APD,Price/Sales (ttm),6.42
375,APD,Price/Book (mrq),4.87
376,APD,Enterprise Value/Revenue 3,6.62
377,APD,Enterprise Value/EBITDA 7,17.22
378,APH,Market Cap (intraday) 5,50.71B
379,APH,Enterprise Value 3,54.66B
380,APH,Trailing P/E,35.86
381,APH,Forward P/E 1,30.86
382,APH,PEG Ratio (5 yr expected) 1,2.11
383,APH,Price/Sales (ttm),5.15
384,APH,Price/Book (mrq),8.53
385,APH,Enterprise Value/Revenue 3,5.32
386,APH,Enterprise Value/EBITDA 7,23.11
387,APTV,Market Cap (intraday) 5,45.87B
388,APTV,Enterprise Value 3,47.53B
389,APTV,Trailing P/E,58.07
390,APTV,Forward P/E 1,36.63
391,APTV,PEG Ratio (5 yr expected) 1,1.58
392,APTV,Price/Sales (ttm),2.96
393,APTV,Price/Book (mrq),5.53
394,APTV,Enterprise Value/Revenue 3,3.03
395,APTV,Enterprise Value/EBITDA 7,21.86
396,ARE,Market Cap (intraday) 5,31.68B
397,ARE,Enterprise Value 3,40.99B
398,ARE,Trailing P/E,30.15
399,ARE,Forward P/E 1,
400,ARE,PEG Ratio (5 yr expected) 1,
401,ARE,Price/Sales (ttm),14.54
402,ARE,Price/Book (mrq),2.15
403,ARE,Enterprise Value/Revenue 3,20.49
404,ARE,Enterprise Value/EBITDA 7,21.39
405,ATO,Market Cap (intraday) 5,12.58B
406,ATO,Enterprise Value 3,20.03B
407,ATO,Trailing P/E,18.55
408,ATO,Forward P/E 1,17.45
409,ATO,PEG Ratio (5 yr expected) 1,2.31
410,ATO,Price/Sales (ttm),3.62
411,ATO,Price/Book (mrq),1.59
412,ATO,Enterprise Value/Revenue 3,5.88
413,ATO,Enterprise Value/EBITDA 7,14.50
414,ATVI,Market Cap (intraday) 5,48.11B
415,ATVI,Enterprise Value 3,42.00B
416,ATVI,Trailing P/E,18.33
417,ATVI,Forward P/E 1,15.62
418,ATVI,PEG Ratio (5 yr expected) 1,1.08
419,ATVI,Price/Sales (ttm),5.34
420,ATVI,Price/Book (mrq),2.84
421,ATVI,Enterprise Value/Revenue 3,4.64
422,ATVI,Enterprise Value/EBITDA 7,11.37
423,AVB,Market Cap (intraday) 5,34.50B
424,AVB,Enterprise Value 3,42.13B
425,AVB,Trailing P/E,34.19
426,AVB,Forward P/E 1,65.36
427,AVB,PEG Ratio (5 yr expected) 1,5.87
428,AVB,Price/Sales (ttm),15.32
429,AVB,Price/Book (mrq),3.20
430,AVB,Enterprise Value/Revenue 3,18.73
431,AVB,Enterprise Value/EBITDA 7,21.44
432,AVGO,Market Cap (intraday) 5,228.50B
433,AVGO,Enterprise Value 3,257.88B
434,AVGO,Trailing P/E,41.12
435,AVGO,Forward P/E 1,18.18
436,AVGO,PEG Ratio (5 yr expected) 1,1.27
437,AVGO,Price/Sales (ttm),8.96
438,AVGO,Price/Book (mrq),9.39
439,AVGO,Enterprise Value/Revenue 3,9.73
440,AVGO,Enterprise Value/EBITDA 7,18.59
441,AVY,Market Cap (intraday) 5,18.34B
442,AVY,Enterprise Value 3,21.33B
443,AVY,Trailing P/E,24.84
444,AVY,Forward P/E 1,23.31
445,AVY,PEG Ratio (5 yr expected) 1,3.06
446,AVY,Price/Sales (ttm),2.26
447,AVY,Price/Book (mrq),10.19
448,AVY,Enterprise Value/Revenue 3,2.60
449,AVY,Enterprise Value/EBITDA 7,16.45
450,AWK,Market Cap (intraday) 5,31.48B
451,AWK,Enterprise Value 3,42.57B
452,AWK,Trailing P/E,41.29
453,AWK,Forward P/E 1,37.88
454,AWK,PEG Ratio (5 yr expected) 1,4.34
455,AWK,Price/Sales (ttm),8.12
456,AWK,Price/Book (mrq),4.58
457,AWK,Enterprise Value/Revenue 3,10.91
458,AWK,Enterprise Value/EBITDA 7,22.79
459,AXP,Market Cap (intraday) 5,132.92B
460,AXP,Enterprise Value 3,
461,AXP,Trailing P/E,17.91
462,AXP,Forward P/E 1,17.79
463,AXP,PEG Ratio (5 yr expected) 1,0.68
464,AXP,Price/Sales (ttm),3.41
465,AXP,Price/Book (mrq),5.44
466,AXP,Enterprise Value/Revenue 3,
467,AXP,Enterprise Value/EBITDA 7,
468,AZO,Market Cap (intraday) 5,39.42B
469,AZO,Enterprise Value 3,46.48B
470,AZO,Trailing P/E,19.75
471,AZO,Forward P/E 1,19.27
472,AZO,PEG Ratio (5 yr expected) 1,1.54
473,AZO,Price/Sales (ttm),2.93
474,AZO,Price/Book (mrq),
475,AZO,Enterprise Value/Revenue 3,3.18
476,AZO,Enterprise Value/EBITDA 7,15.79
477,BA,Market Cap (intraday) 5,122.91B
478,BA,Enterprise Value 3,165.33B
479,BA,Trailing P/E,
480,BA,Forward P/E 1,34.72
481,BA,PEG Ratio (5 yr expected) 1,6.53
482,BA,Price/Sales (ttm),1.95
483,BA,Price/Book (mrq),
484,BA,Enterprise Value/Revenue 3,2.63
485,BA,Enterprise Value/EBITDA 7,-40.81
486,BAC,Market Cap (intraday) 5,389.81B
487,BAC,Enterprise Value 3,
488,BAC,Trailing P/E,14.26
489,BAC,Forward P/E 1,15.11
490,BAC,PEG Ratio (5 yr expected) 1,1.05
491,BAC,Price/Sales (ttm),4.77
492,BAC,Price/Book (mrq),1.57
493,BAC,Enterprise Value/Revenue 3,
494,BAC,Enterprise Value/EBITDA 7,
495,BAX,Market Cap (intraday) 5,38.86B
496,BAX,Enterprise Value 3,42.05B
497,BAX,Trailing P/E,32.61
498,BAX,Forward P/E 1,19.53
499,BAX,PEG Ratio (5 yr expected) 1,1.47
500,BAX,Price/Sales (ttm),3.19
501,BAX,Price/Book (mrq),4.43
502,BAX,Enterprise Value/Revenue 3,3.38
503,BAX,Enterprise Value/EBITDA 7,17.30
504,BBWI,Market Cap (intraday) 5,19.97B
505,BBWI,Enterprise Value 3,26.87B
506,BBWI,Trailing P/E,15.74
507,BBWI,Forward P/E 1,16.42
508,BBWI,PEG Ratio (5 yr expected) 1,1.40
509,BBWI,Price/Sales (ttm),2.19
510,BBWI,Price/Book (mrq),
511,BBWI,Enterprise Value/Revenue 3,2.78
512,BBWI,Enterprise Value/EBITDA 7,12.19
513,BBY,Market Cap (intraday) 5,28.70B
514,BBY,Enterprise Value 3,28.46B
515,BBY,Trailing P/E,11.91
516,BBY,Forward P/E 1,13.00
517,BBY,PEG Ratio (5 yr expected) 1,1.85
518,BBY,Price/Sales (ttm),0.58
519,BBY,Price/Book (mrq),6.62
520,BBY,Enterprise Value/Revenue 3,0.54
521,BBY,Enterprise Value/EBITDA 7,6.86
522,BDX,Market Cap (intraday) 5,70.21B
523,BDX,Enterprise Value 3,85.52B
524,BDX,Trailing P/E,35.69
525,BDX,Forward P/E 1,19.42
526,BDX,PEG Ratio (5 yr expected) 1,1.78
527,BDX,Price/Sales (ttm),3.53
528,BDX,Price/Book (mrq),2.97
529,BDX,Enterprise Value/Revenue 3,4.22
530,BDX,Enterprise Value/EBITDA 7,17.16
531,BEN,Market Cap (intraday) 5,17.28B
532,BEN,Enterprise Value 3,20.22B
533,BEN,Trailing P/E,9.65
534,BEN,Forward P/E 1,9.53
535,BEN,PEG Ratio (5 yr expected) 1,0.55
536,BEN,Price/Sales (ttm),2.01
537,BEN,Price/Book (mrq),1.54
538,BEN,Enterprise Value/Revenue 3,2.40
539,BEN,Enterprise Value/EBITDA 7,7.12
540,BF-B,Market Cap (intraday) 5,34.85B
541,BF-B,Enterprise Value 3,36.18B
542,BF-B,Trailing P/E,46.35
543,BF-B,Forward P/E 1,44.64
544,BF-B,PEG Ratio (5 yr expected) 1,4.79
545,BF-B,Price/Sales (ttm),9.93
546,BF-B,Price/Book (mrq),13.32
547,BF-B,Enterprise Value/Revenue 3,10.01
548,BF-B,Enterprise Value/EBITDA 7,31.65
549,BIIB,Market Cap (intraday) 5,37.33B
550,BIIB,Enterprise Value 3,42.00B
551,BIIB,Trailing P/E,24.32
552,BIIB,Forward P/E 1,13.33
553,BIIB,PEG Ratio (5 yr expected) 1,6.24
554,BIIB,Price/Sales (ttm),3.46
555,BIIB,Price/Book (mrq),3.58
556,BIIB,Enterprise Value/Revenue 3,3.78
557,BIIB,Enterprise Value/EBITDA 7,14.00
558,BIO,Market Cap (intraday) 5,22.21B
559,BIO,Enterprise Value 3,21.10B
560,BIO,Trailing P/E,3.34
561,BIO,Forward P/E 1,48.31
562,BIO,PEG Ratio (5 yr expected) 1,3.48
563,BIO,Price/Sales (ttm),7.47
564,BIO,Price/Book (mrq),1.44
565,BIO,Enterprise Value/Revenue 3,7.08
566,BIO,Enterprise Value/EBITDA 7,2.43
567,BK,Market Cap (intraday) 5,48.73B
568,BK,Enterprise Value 3,
569,BK,Trailing P/E,15.02
570,BK,Forward P/E 1,13.11
571,BK,PEG Ratio (5 yr expected) 1,1.38
572,BK,Price/Sales (ttm),3.33
573,BK,Price/Book (mrq),1.25
574,BK,Enterprise Value/Revenue 3,
575,BK,Enterprise Value/EBITDA 7,
576,BKNG,Market Cap (intraday) 5,96.13B
577,BKNG,Enterprise Value 3,95.30B
578,BKNG,Trailing P/E,253.92
579,BKNG,Forward P/E 1,24.63
580,BKNG,PEG Ratio (5 yr expected) 1,0.23
581,BKNG,Price/Sales (ttm),10.50
582,BKNG,Price/Book (mrq),17.34
583,BKNG,Enterprise Value/Revenue 3,10.34
584,BKNG,Enterprise Value/EBITDA 7,50.96
585,BKR,Market Cap (intraday) 5,20.06B
586,BKR,Enterprise Value 3,22.90B
587,BKR,Trailing P/E,36.03
588,BKR,Forward P/E 1,18.32
589,BKR,PEG Ratio (5 yr expected) 1,0.31
590,BKR,Price/Sales (ttm),0.87
591,BKR,Price/Book (mrq),1.42
592,BKR,Enterprise Value/Revenue 3,1.12
593,BKR,Enterprise Value/EBITDA 7,8.57
594,BLK,Market Cap (intraday) 5,141.39B
595,BLK,Enterprise Value 3,142.45B
596,BLK,Trailing P/E,24.75
597,BLK,Forward P/E 1,21.83
598,BLK,PEG Ratio (5 yr expected) 1,2.73
599,BLK,Price/Sales (ttm),7.67
600,BLK,Price/Book (mrq),3.84
601,BLK,Enterprise Value/Revenue 3,7.60
602,BLK,Enterprise Value/EBITDA 7,16.10
603,BLL,Market Cap (intraday) 5,30.32B
604,BLL,Enterprise Value 3,37.39B
605,BLL,Trailing P/E,38.53
606,BLL,Forward P/E 1,23.26
607,BLL,PEG Ratio (5 yr expected) 1,4.00
608,BLL,Price/Sales (ttm),2.36
609,BLL,Price/Book (mrq),8.19
610,BLL,Enterprise Value/Revenue 3,2.82
611,BLL,Enterprise Value/EBITDA 7,19.79
612,BMY,Market Cap (intraday) 5,127.52B
613,BMY,Enterprise Value 3,157.54B
614,BMY,Trailing P/E,93.81
615,BMY,Forward P/E 1,7.18
616,BMY,PEG Ratio (5 yr expected) 1,11.05
617,BMY,Price/Sales (ttm),2.82
618,BMY,Price/Book (mrq),3.43
619,BMY,Enterprise Value/Revenue 3,3.46
620,BMY,Enterprise Value/EBITDA 7,19.81
621,BR,Market Cap (intraday) 5,20.18B
